3.230294159546450032e+02,1.727993911801681008e+02
3.217874597702622168e+02,1.730714210451280337e+02
3.201593135400092365e+02,1.735443224608638957e+02
3.183033547293699144e+02,1.742925301731214347e+02
3.163645573342102466e+02,1.752162883914988925e+02
3.144576085207974643e+02,1.760715522544426221e+02
3.123826766239092763e+02,1.770624477310497582e+02
3.103516242423322069e+02,1.781832813059549494e+02
3.083543557484754842e+02,1.794839514635525006e+02
3.061691712314998881e+02,1.810510284223390727e+02
3.040347808348937519e+02,1.827134533195969652e+02
3.020116739531655412e+02,1.843367296316849604e+02
3.001524601649922488e+02,1.858232926507021716e+02
2.984687299457873451e+02,1.873034930825160984e+02
2.967947242649490818e+02,1.889538184914141823e+02
2.954031602859872692e+02,1.908645260577656018e+02
2.942457499627096809e+02,1.928067663736030113e+02
2.932118129287235320e+02,1.947530199193628277e+02
2.919890045751170078e+02,1.967319325893854227e+02
2.906641306987791609e+02,1.988803615758553178e+02
2.893960146167551670e+02,2.009538482930070415e+02
2.879052059137900414e+02,2.027906759319818093e+02
2.861817896976357929e+02,2.047308956568541873e+02
2.842826219282051738e+02,2.067071694853466113e+02
2.819760400978987036e+02,2.082875610181072545e+02
2.799519147036102709e+02,2.094379710003163950e+02
2.780540957882390103e+02,2.104474757194365679e+02
2.763630440765107892e+02,2.113419649030811343e+02
2.750187330948541558e+02,2.120660362938484980e+02
2.740184500322420149e+02,2.125240653400910844e+02
2.734226570940718375e+02,2.125655622579374437e+02
2.732895551630211912e+02,2.123476796515134026e+02
#1a ida
